Hash(vPC),Name
0x6606A669,ANIMAL_SPECIES_REL_SET_PLAY_SNIFF
0x3C5700DC,ANIMAL_SPECIES_REL_GET_CAN_ATTACK
0xC8B4CD3F,ANIMAL_SPECIES_REL_SET_CAN_ATTACK
0x482DD4E,ANIMAL_SPECIES_REL_SET_CAN_WARN
0xB5A63B67,ANIMAL_SPECIES_REL_SET_EAT_GRINGO
0xCE23118D,ANIMAL_ACTOR_GET_DOMESTICATION
0x58C36502,ANIMAL_ACTOR_SET_DOMESTICATION
0x7D0E25DF,ANIMAL_ACTOR_GET_SPECIES
0x11150810,ANIMAL_TUNING_SET_ATTRIB_BOOL
0xE36EA080,ANIMAL_TUNING_SET_ATTRIB_FLOAT
0xABFCFF01,ANIMAL_ACTOR_SET_DOCILE
0xAAA8AF88,ANIMAL_ACTOR_GET_DOCILE
0x57DF8CD0,ANIMAL_ACTOR_GET_GRABBED_BY
0x13FA7128,COMBAT_CLASS_AI_CLEAR_ALL_ATTRIBS
0xE39B4D25,COMBAT_CLASS_AI_GET_ATTRIB_BOOL
0xAAD75024,COMBAT_CLASS_AI_GET_ATTRIB_FLOAT
0x983DB127,COMBAT_CLASS_AI_GET_RANGE_ACCURACY
0x69C5ADD2,COMBAT_CLASS_AI_SET_ATTRIB_BOOL
0x80D51606,COMBAT_CLASS_AI_SET_ATTRIB_FLOAT
0x6389CF4B,COMBAT_CLASS_AI_SET_FIGHT_ATTACK_DISTANCE
0xE20587E7,COMBAT_CLASS_AI_SET_FIGHT_DESIRED_DISTANCE
0xEF1436B,COMBAT_CLASS_AI_SET_FIGHT_TIME_BETWEEN_ATTACKS_MULTIPLIER
0x1EF0E419,COMBAT_CLASS_AI_SET_FIGHT_TIME_BETWEEN_ATTACKS
0xF1454677,COMBAT_CLASS_AI_SET_FRIENDLY_FIRE_CONSIDERATION
0x60B705A5,COMBAT_CLASS_AI_SET_RANGE_ACCURACY
0xC30DB881,COMBAT_CLASS_AI_SET_RANGE_BETWEEN_BURSTS_DELAY
0x8DE6AF29,COMBAT_CLASS_NAME_REGISTER_INT
0x629E2E88,COMBAT_CLASS_REQUEST_EXISTS
0xEDD5D43,COMBAT_CLASS_REQUEST_GET_ACTOR
0x76478D6E,COMBAT_CLASS_REQUEST_GET_ENUM_INT
0xE66AD206,COMBAT_CLASS_REQUEST_COMPLETED
0xAD3877AF,COMBAT_CLASS_SERVER_SET_SCRIPT
0x7F73E1E8,AI_COMBAT_SET_NEW_STATE_MACHINE_ENABLED
0x30402375,AI_CONVERSE_SET_GREETING_CONTEXT
0x7922F870,AI_CONVERSE_SET_GOSSIP_AMBIENT_CONTEXT
0x663723A0,AI_CONVERSE_SET_GOSSIP_REPLY_CONTEXT
0x93CFB180,AI_CONVERSE_SET_GOODBYE_START_CONTEXT
0xA1FCBA24,AI_CONVERSE_SET_GOODBYE_CONTEXT
0x7ED8B78C,AI_CONVERSE_INIT_CAMPFIRE_CONTEXT_STORAGE
0xD4871BDB,AI_CONVERSE_SET_CAMPFIRE_INVITE_CONTEXT
0xA88359B9,AI_CONVERSE_SET_CAMPFIRE_CONTEXT
0xAD42EABC,AI_CONVERSE_SET_CAMPFIRE_STORY_CONTEXT
0xC65F6751,AI_CONVERSE_SET_CAMPFIRE_STORY_DONE_CONTEXT
0x83CBD612,AI_CONVERSE_SET_CAMPFIRE_STORY_LEAVE_CONTEXT
0x4AD2BC30,AI_CONVERSE_SET_CAMPFIRE_RESPONSE_CONTEXT
0xC1F9A360,AI_SET_CAMPFIRE_STORY_ENABLED
0xFCD2DE48,AI_CONVERSE_SET_GIDDYUP_CONTEXT
0xB8F1D736,AI_CONVERSE_SET_WOAH_CONTEXT
0xEA86A817,AI_CONVERSE_DISABLE
0x43F59172,AI_CONVERSE_ENABLE
0x52D984AF,AI_CONVERSE_ADD_CAMPFIRE_CONVERSER
0x1D4786CF,AI_CONVERSE_REMOVE_CAMPFIRE_CONVERSER
0x375BBD85,AI_CONVERSE_SET_GREET_SAUCY_CONTEXT
0x4819FB7C,AI_CONVERSE_SET_SOLICIT_CONTEXT
0xC4F468AA,AI_CONVERSE_SET_REJECTION_CONTEXT
0xBD3A0E6D,AI_CONVERSE_SET_COY_REJECTION_CONTEXT
0xD6BBC8AA,AI_CONVERSE_SET_GREET_PLAYER_CONTEXT
0x8CD37E9E,MEMORY_CLEAR_EVENTS
0x4485B246,MEMORY_CLEAR_ALL
0xACD4084D,MEMORY_CONSIDER_ACCORDING_TO_FACTION
0x296C01A4,MEMORY_CONSIDER_AS
0x745A1BA3,MEMORY_CONSIDER_AS_ENEMY
0x810A7BA,MEMORY_GET_IS_IDENTIFIED
0x45CE40FD,MEMORY_GET_IS_VISIBLE
0xC407497F,MEMORY_GET_WAS_VISIBLE_WITHIN_TIME
0xBA09085C,MEMORY_IDENTIFY
0x52CC7CE,MEMORY_REPORT_POSITION
0x2F589CDF,MEMORY_REPORT_POSITION_AUTO
0x5B3D34F,MEMORY_GET_MUST_IDENTIFY
0x5A83A1EA,MEMORY_ATTACK_ON_SIGHT
0x48AA959E,MEMORY_CLEAR_RIDING_PREFERENCE
0x1B72B0DD,MEMORY_PREFER_RIDING
0x2F7B60A4,MEMORY_PREFER_WALKING
0x2F929ECD,MEMORY_PREFER_MELEE
0xC175F2B5,MEMORY_FORCE_MELEE
0x937E1760,MEMORY_ALLOW_SHOOTING
0xE944E5F8,MEMORY_ALLOW_TAKE_COVER
0xDBDB57D0,MEMORY_ALLOW_THROWING_EXPLOSIVES
0x5DD0AC4A,MEMORY_ALLOW_PICKUP_WEAPONS
0x9EB4C1,MEMORY_GET_WEAPON_DRAW_PREFERENCE
0xDD965D74,MEMORY_CLEAR_WEAPON_DRAW_PREFERENCE
0xF8CB6260,MEMORY_SET_WEAPON_DRAW_PREFERENCE
0x7E77DD6C,MEMORY_GET_POSITION_LAST_KNOWN_TIME
0x7EDD316C,MEMORY_EVERYBODY_FORGET_ABOUT
0xD1628C57,MEMORY_EVERYBODY_FORGET_ABOUT_EVERYTHING
0x52E865C,MEMORY_SHOULD_ALWAYS_PATHFIND_IN_FORMATION
0xAF94B7D9,AI_GLOBAL_CLEAR_ALL_DANGER
0xB6FCFFAA,AI_GLOBAL_CLEAR_DANGER
0xFF00B4E6,AI_GLOBAL_GET_PERMANENT_DANGER
0x5EC098F2,AI_GLOBAL_IS_DANGER
0x64C177FB,AI_GLOBAL_SET_PERMANENT_DANGER
0xCF70330C,AI_GLOBAL_REPORT_DANGER
0xB4621962,MEMORY_SET_UNARMED_RETREAT
0x4A69F264,AI_BEHAVIOR_SET_ALLOW
0x8F428EDF,AI_ACTION_IS_ACTIVE
0x671851D4,AI_GOAL_AIM_AT_COORD
0x3CD232B2,AI_GOAL_AIM_AT_OBJECT
0xD5100DC2,AI_GOAL_AIM_CLEAR
0x96928D25,AI_GOAL_LOOK_AT_ACTOR
0xB162690D,AI_GOAL_LOOK_AT_COORD
0x15B7044B,AI_GOAL_LOOK_AT_ACTOR_NEW
0x245D0CFD,AI_GOAL_LOOK_AT_COORD_NEW
0x8456676E,AI_GOAL_LOOK_AT_NEUTRAL
0x6AF3E54E,AI_GOAL_LOOK_CLEAR
0x10674B4F,AI_GOAL_SHOOT_AT_OBJECT
0x6C65E46E,AI_GOAL_SHOOT_AT_COORD
0xC43A9268,AI_GOAL_SHOOT_CLEAR
0xD9B27A9E,AI_GOAL_STAND_AT_COORD
0xEADB58EB,AI_GOAL_STAND_CLEAR
0x31D76951,AI_PREDICATE_FIND_NAMED
0x1FEECD4C,AI_PREDICATE_IS_VALID
0x1A137442,AI_PREDICATE_OVERRIDE_CLEAR
0x3CAC2441,AI_PREDICATE_OVERRIDE_CLEAR_ALL
0x1117C85A,AI_PREDICATE_OVERRIDE_SET_BOOL
0x8D1FC73C,AI_IGNORE_ACTOR
0x98790639,AI_STOP_IGNORING_ACTOR
0x4DF3C5D1,AI_STOP_IGNORING_ACTORS
0xB421AFCA,AI_DONT_HARM_ACTOR
